name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
montgomery,2023-01-01,23.8,11.3,15.4,23.8,11.3,15.4,10.7,76.5,0.171,100,4.17,rain,0,0,14.8,8.7,140,1018.7,38,9.6,96.8,8.3,4,10,2023-01-01T06:46:48,2023-01-01T16:50:54,0.32,"Rain, Partially cloudy",Clearing in the afternoon with morning rain.,rain,"99999973802,KMXF,72226513821,F7894,72226013895,KMGM,K1A9,BDAA1"
montgomery,2023-01-02,24,11.9,17.7,24,11.9,17.7,14.2,80.5,0.637,100,12.5,rain,0,0,29.5,14.3,120.6,1019.7,81.9,12.1,50.2,4.4,2,30,2023-01-02T06:47:00,2023-01-02T16:51:38,0.36,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"99999973802,KMXF,72226513821,F7894,72226013895,KMGM,K1A9,BDAA1"
montgomery,2023-01-03,24.7,16.8,20.1,24.7,16.8,20.1,16.7,81.6,11.541,100,33.33,rain,0,0,60.8,21.8,151.1,1014.5,91.4,15,37.4,3.3,2,30,2023-01-03T06:47:11,2023-01-03T16:52:24,0.39,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"99999973802,KMXF,72226513821,F7894,72226013895,KMGM,K1A9,BDAA1"
montgomery,2023-01-04,22,9.4,17.5,22,9.4,17.5,9.9,66.1,25.342,100,29.17,rain,0,0,48.3,17.3,234.6,1013.9,39.6,14.8,102.8,8.9,4,30,2023-01-04T06:47:20,2023-01-04T16:53:10,0.42,"Rain, Partially cloudy",Clearing in the afternoon with rain clearing later.,rain,"99999973802,KMXF,72226513821,72226013895,KMGM,K1A9,BDAA1"
montgomery,2023-01-05,17.2,7,11.1,17.2,5.3,10.7,2.6,61,0,0,0,,0,0,29.5,18.9,261.8,1020.9,0,15.8,110.5,9.6,4,10,2023-01-05T06:47:27,2023-01-05T16:53:58,0.46,Clear,Clear conditions throughout the day.,clear-day,"99999973802,KMXF,72226513821,72226013895,KMGM,K1A9,BDAA1"
montgomery,2023-01-06,16.7,1.5,8.3,16.7,1.5,8.1,-0.5,60,0,0,0,,0,0,16.6,11.2,278.7,1025.1,0,16,111,9.6,4,10,2023-01-06T06:47:32,2023-01-06T16:54:46,0.5,Clear,Clear conditions throughout the day.,clear-day,"99999973802,KMXF,72226513821,72226013895,KMGM,K1A9,BDAA1"
montgomery,2023-01-07,21.9,2.1,10.8,21.9,0.5,10.6,2.2,61.5,0,0,0,,0,0,14.8,8.8,202.1,1024.8,0,15.8,109.9,9.7,4,10,2023-01-07T06:47:35,2023-01-07T16:55:35,0.53,Clear,Clear conditions throughout the day.,clear-day,"99999973802,KMXF,72226513821,F7894,72226013895,KMGM,K1A9,BDAA1"
montgomery,2023-01-08,17.6,7.2,12.3,17.6,5.8,12.2,9.6,83.9,6.73,100,37.5,rain,0,0,25.9,13.2,242.9,1022,59,14,50.6,4.4,3,10,2023-01-08T06:47:37,2023-01-08T16:56:25,0.56,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"99999973802,KMXF,72226513821,F7894,72226013895,KMGM,K1A9,BDAA1"
montgomery,2023-01-09,14.4,5.3,9.9,14.4,5.3,9.7,3.9,68.5,0,0,0,,0,0,27.7,15.6,343.3,1022.4,24.4,15.9,106.4,9,4,10,2023-01-09T06:47:37,2023-01-09T16:57:15,0.59,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"99999973802,KMXF,72226513821,F7894,72226013895,KMGM,K1A9,BDAA1"
montgomery,2023-01-10,18,0.7,8.3,18,0.7,8.3,1.9,69.3,0,0,0,,0,0,16.6,9.5,254.8,1019.7,15.8,11.5,111.3,9.9,4,10,2023-01-10T06:47:35,2023-01-10T16:58:07,0.63,Clear,Clear conditions throughout the day.,clear-day,"99999973802,KMXF,72226513821,F7894,72226013895,KMGM,K1A9,BDAA1"
montgomery,2023-01-11,23.7,6.6,15,23.7,6.6,15,9.9,73.2,0,0,0,,0,0,35.3,18.7,204.6,1016.7,59.9,16,67.5,5.8,3,10,2023-01-11T06:47:31,2023-01-11T16:58:59,0.66,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"99999973802,KMXF,72226513821,F7894,72226013895,KMGM,K1A9,BDAA1"
